transaction_date,region,distributor,store,sales_channel,product,category,units_sold,revenue
2024-01-04,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Pasta 500g,Grocery,42,238.98
2024-06-25,Northeast,Nordeste Partners,Recife Store Hub,Cash & Carry,Tomato Sauce 340g,Grocery,108,421.2
2024-12-11,Southeast,SP Trade Hub,Belo Horizonte Outlet,Cash & Carry,Paper Towels 2-roll,Household,26,219.7
2024-06-12,Central-West,Cerrado Logistics,Cuiabá Store Center,Convenience,Paper Towels 2-roll,Household,17,144.5
2024-06-09,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Tomato Sauce 340g,Grocery,20,90.8
2024-12-19,Northeast,Nordeste Partners,Fortaleza Market Center,Supermarket,Classic Soda 350ml,Beverages,55,244.2
2024-08-19,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Pharmacy,Tomato Sauce 340g,Grocery,6,23.76
2024-07-14,Southeast,Atlântico Distribuição,São Paulo Prime Store,Supermarket,Chocolate Bar 90g,Confectionery,29,153.99
2024-10-30,North,Norte Supply,Porto Velho Outlet,Supermarket,Mineral Water 500ml,Beverages,33,88.11
2024-06-21,North,Norte Supply,Belém Market Point,Supermarket,Peanut Mix 200g,Snacks,35,264.95
2024-04-26,Southeast,SP Trade Hub,Rio Market Center,E-commerce,Peanut Mix 200g,Snacks,7,57.26
2024-12-06,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Supermarket,Tomato Sauce 340g,Grocery,17,69.7
2024-05-28,North,Amazon Distribution,Belém Market Point,Pharmacy,Laundry Detergent 1L,Household,6,71.82
2024-06-06,Southeast,SP Trade Hub,Belo Horizonte Outlet,Pharmacy,Classic Soda 350ml,Beverages,7,30.66
2024-03-07,Central-West,MidBrasil Supply,Cuiabá Store Center,Cash & Carry,Laundry Detergent 1L,Household,82,988.92
2024-02-02,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Tomato Sauce 340g,Grocery,1,4.16
2024-04-29,Southeast,SP Trade Hub,Campinas Retail Hub,Convenience,Paper Towels 2-roll,Household,13,115.57
2024-12-23,Southeast,Atlântico Distribuição,Rio Market Center,E-commerce,Chocolate Bar 90g,Confectionery,7,40.25
2024-05-01,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Laundry Detergent 1L,Household,8,99.84
2024-07-15,Southeast,SP Trade Hub,Rio Market Center,E-commerce,Orange Juice 1L,Beverages,5,40.3
2024-05-16,North,Norte Supply,Belém Market Point,E-commerce,Paper Towels 2-roll,Household,3,25.89
2024-01-31,Northeast,Coastal Distribution,Fortaleza Market Center,Supermarket,Chocolate Bar 90g,Confectionery,70,362.6
2024-10-14,North,Norte Supply,Belém Market Point,E-commerce,Tomato Sauce 340g,Grocery,5,21.95
2024-04-12,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Pasta 500g,Grocery,7,44.31
2024-04-09,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Paper Towels 2-roll,Household,82,747.84
2024-01-06,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Paper Towels 2-roll,Household,11,92.07
2024-11-25,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Dish Soap 500ml,Household,112,542.08
2024-07-14,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Dish Soap 500ml,Household,19,87.97
2024-05-21,Southeast,Atlântico Distribuição,São Paulo Prime Store,Convenience,Tomato Sauce 340g,Grocery,9,39.06
2024-06-14,Southeast,Atlântico Distribuição,Campinas Retail Hub,E-commerce,Mineral Water 500ml,Beverages,1,2.63
2024-07-11,Central-West,MidBrasil Supply,Brasília Retail Hub,Supermarket,Chocolate Bar 90g,Confectionery,80,399.2
2024-06-16,Southeast,Rio Valley Distribution,Rio Market Center,Pharmacy,Mineral Water 500ml,Beverages,3,8.58
2024-12-31,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Paper Towels 2-roll,Household,31,269.7
2024-03-24,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Pasta 500g,Grocery,106,598.9
2024-06-24,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Cookies Pack 140g,Confectionery,111,702.63
2024-11-24,Southeast,Rio Valley Distribution,São Paulo Prime Store,E-commerce,Cookies Pack 140g,Confectionery,13,91.13
2024-02-29,South,SulMax Distribuidora,Curitiba Retail Point,Pharmacy,Mineral Water 500ml,Beverages,10,26.8
2024-01-22,North,Amazon Distribution,Manaus Retail Center,Supermarket,Tomato Sauce 340g,Grocery,15,60.15
2024-06-14,Northeast,Nordeste Partners,Recife Store Hub,E-commerce,Chocolate Bar 90g,Confectionery,13,73.06
2024-12-08,Southeast,SP Trade Hub,Rio Market Center,Pharmacy,Classic Soda 350ml,Beverages,15,68.1
2024-04-27,North,Amazon Distribution,Porto Velho Outlet,Cash & Carry,Potato Chips 120g,Snacks,89,577.61
2024-03-25,Central-West,Cerrado Logistics,Cuiabá Store Center,Convenience,Pasta 500g,Grocery,15,84.45
2024-05-16,South,SulMax Distribuidora,Florianópolis Market Center,E-commerce,Peanut Mix 200g,Snacks,18,144.72
2024-06-20,Southeast,SP Trade Hub,Campinas Retail Hub,E-commerce,Peanut Mix 200g,Snacks,7,55.79
2024-01-15,Central-West,MidBrasil Supply,Goiânia Sales Point,Convenience,Tomato Sauce 340g,Grocery,17,72.59
2024-01-22,South,Pampa Supply,Curitiba Retail Point,Supermarket,Orange Juice 1L,Beverages,59,489.11
2024-12-11,Northeast,Nordeste Partners,Fortaleza Market Center,Convenience,Paper Towels 2-roll,Household,9,83.16
2024-11-16,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Dish Soap 500ml,Household,44,217.8
2024-01-07,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Peanut Mix 200g,Snacks,42,362.46
2024-06-16,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Paper Towels 2-roll,Household,16,149.92
2024-11-01,South,SulMax Distribuidora,Porto Alegre Store Hub,Pharmacy,Pasta 500g,Grocery,11,67.98
2024-01-16,Northeast,Nordeste Partners,Fortaleza Market Center,Cash & Carry,Classic Soda 350ml,Beverages,94,392.92
2024-07-14,North,Norte Supply,Manaus Retail Center,Convenience,Tomato Sauce 340g,Grocery,21,94.71
2024-04-07,North,Amazon Distribution,Belém Market Point,Supermarket,Dish Soap 500ml,Household,64,325.76
2024-01-12,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Dish Soap 500ml,Household,11,56.21
2024-04-14,North,Norte Supply,Manaus Retail Center,Convenience,Tomato Sauce 340g,Grocery,6,26.88
2024-02-14,North,Norte Supply,Manaus Retail Center,Cash & Carry,Orange Juice 1L,Beverages,107,808.92
2024-10-15,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Paper Towels 2-roll,Household,76,614.84
2024-07-12,Northeast,Nordeste Partners,Recife Store Hub,Pharmacy,Dish Soap 500ml,Household,2,9.08
2024-10-22,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Supermarket,Classic Soda 350ml,Beverages,15,69.15
2024-05-16,Central-West,MidBrasil Supply,Cuiabá Store Center,Pharmacy,Potato Chips 120g,Snacks,2,13.36
2024-11-28,Northeast,Nordeste Partners,Fortaleza Market Center,Pharmacy,Classic Soda 350ml,Beverages,3,14.31
2024-01-25,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Paper Towels 2-roll,Household,46,391.46
2024-03-24,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Pasta 500g,Grocery,13,78.65
2024-03-30,Central-West,Cerrado Logistics,Brasília Retail Hub,Convenience,Cookies Pack 140g,Confectionery,21,140.49
2024-09-10,Southeast,Atlântico Distribuição,Rio Market Center,Supermarket,Dish Soap 500ml,Household,79,381.57
2024-07-02,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Chocolate Bar 90g,Confectionery,69,369.84
2024-11-16,South,SulMax Distribuidora,Curitiba Retail Point,Convenience,Pasta 500g,Grocery,7,41.93
2024-12-20,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Potato Chips 120g,Snacks,60,364.2
2024-10-21,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Orange Juice 1L,Beverages,1,7.59
2024-12-29,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Dish Soap 500ml,Household,52,254.28
2024-12-02,Central-West,MidBrasil Supply,Cuiabá Store Center,Pharmacy,Pasta 500g,Grocery,14,78.82
2024-11-23,Central-West,MidBrasil Supply,Cuiabá Store Center,Cash & Carry,Potato Chips 120g,Snacks,97,625.65
2024-03-14,Northeast,Nordeste Partners,Fortaleza Market Center,Cash & Carry,Tomato Sauce 340g,Grocery,24,103.92
2024-10-04,Central-West,Cerrado Logistics,Brasília Retail Hub,Convenience,Potato Chips 120g,Snacks,23,139.84
2024-03-02,Northeast,Nordeste Partners,Recife Store Hub,Cash & Carry,Peanut Mix 200g,Snacks,41,319.39
2024-08-04,North,Amazon Distribution,Belém Market Point,Pharmacy,Orange Juice 1L,Beverages,13,105.3
2024-04-16,North,Norte Supply,Belém Market Point,Pharmacy,Chocolate Bar 90g,Confectionery,11,58.74
2024-01-22,South,Pampa Supply,Florianópolis Market Center,E-commerce,Laundry Detergent 1L,Household,16,215.2
2024-12-24,Southeast,Atlântico Distribuição,Rio Market Center,Cash & Carry,Peanut Mix 200g,Snacks,75,650.25
2024-10-27,Southeast,Rio Valley Distribution,São Paulo Prime Store,Pharmacy,Paper Towels 2-roll,Household,13,121.29
2024-02-14,Southeast,SP Trade Hub,Belo Horizonte Outlet,Cash & Carry,Tomato Sauce 340g,Grocery,75,302.25
2024-07-13,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Tomato Sauce 340g,Grocery,110,449.9
2024-10-09,South,Pampa Supply,Curitiba Retail Point,Convenience,Peanut Mix 200g,Snacks,25,216.75
2024-03-06,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Dish Soap 500ml,Household,90,466.2
2024-08-25,North,Norte Supply,Manaus Retail Center,E-commerce,Mineral Water 500ml,Beverages,9,26.01
2024-03-01,Southeast,Rio Valley Distribution,São Paulo Prime Store,Convenience,Laundry Detergent 1L,Household,25,313.25
2024-05-28,Northeast,Coastal Distribution,Salvador Retail Point,Supermarket,Classic Soda 350ml,Beverages,52,231.4
2024-05-07,Northeast,Nordeste Partners,Recife Store Hub,Pharmacy,Tomato Sauce 340g,Grocery,2,8.24
2024-04-24,Northeast,Coastal Distribution,Recife Store Hub,Convenience,Mineral Water 500ml,Beverages,13,38.48
2024-02-29,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Paper Towels 2-roll,Household,5,41.15
2024-12-23,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Chocolate Bar 90g,Confectionery,15,74.85
2024-08-02,South,Pampa Supply,Florianópolis Market Center,E-commerce,Orange Juice 1L,Beverages,16,116.96
2024-02-14,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Cash & Carry,Orange Juice 1L,Beverages,48,402.24
2024-03-11,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Potato Chips 120g,Snacks,4,24.04
2024-12-03,North,Amazon Distribution,Porto Velho Outlet,Supermarket,Tomato Sauce 340g,Grocery,79,324.69
2024-07-30,Central-West,MidBrasil Supply,Goiânia Sales Point,Supermarket,Laundry Detergent 1L,Household,24,302.88
2024-12-25,Northeast,Nordeste Partners,Recife Store Hub,Convenience,Mineral Water 500ml,Beverages,15,38.7
2024-05-16,North,Amazon Distribution,Manaus Retail Center,E-commerce,Dish Soap 500ml,Household,17,76.67
2024-04-06,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Potato Chips 120g,Snacks,17,110.16
2024-11-20,Northeast,Nordeste Partners,Recife Store Hub,Pharmacy,Pasta 500g,Grocery,19,118.56
2024-03-15,North,Amazon Distribution,Porto Velho Outlet,Supermarket,Pasta 500g,Grocery,18,105.84
2024-07-04,North,Amazon Distribution,Manaus Retail Center,Pharmacy,Dish Soap 500ml,Household,9,46.44
2024-07-21,Southeast,SP Trade Hub,Belo Horizonte Outlet,Cash & Carry,Chocolate Bar 90g,Confectionery,18,92.34
2024-03-06,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Potato Chips 120g,Snacks,16,105.92
2024-11-02,South,Pampa Supply,Florianópolis Market Center,Supermarket,Potato Chips 120g,Snacks,76,477.28
2024-02-03,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Cookies Pack 140g,Confectionery,86,546.1
2024-05-23,Northeast,Nordeste Partners,Salvador Retail Point,Convenience,Cookies Pack 140g,Confectionery,17,118.32
2024-06-06,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Chocolate Bar 90g,Confectionery,16,86.56
2024-02-16,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Chocolate Bar 90g,Confectionery,17,98.77
2024-05-27,South,SulMax Distribuidora,Porto Alegre Store Hub,Convenience,Peanut Mix 200g,Snacks,22,180.84
2024-06-27,Central-West,MidBrasil Supply,Goiânia Sales Point,E-commerce,Potato Chips 120g,Snacks,10,61.8
2024-08-05,Central-West,MidBrasil Supply,Brasília Retail Hub,Convenience,Laundry Detergent 1L,Household,24,307.68
2024-12-17,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Potato Chips 120g,Snacks,24,152.64
2024-09-23,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Laundry Detergent 1L,Household,7,82.11
2024-06-21,Central-West,Cerrado Logistics,Goiânia Sales Point,E-commerce,Dish Soap 500ml,Household,6,31.2
2024-05-18,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Tomato Sauce 340g,Grocery,20,83.4
2024-05-09,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Orange Juice 1L,Beverages,4,33.96
2024-05-10,South,Pampa Supply,Curitiba Retail Point,Cash & Carry,Potato Chips 120g,Snacks,78,503.1
2024-04-11,South,Pampa Supply,Florianópolis Market Center,E-commerce,Cookies Pack 140g,Confectionery,9,56.79
2024-08-31,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,E-commerce,Orange Juice 1L,Beverages,14,108.64
2024-01-28,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Chocolate Bar 90g,Confectionery,20,114.0
2024-03-06,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Peanut Mix 200g,Snacks,4,35.04
2024-01-06,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Classic Soda 350ml,Beverages,4,17.52
2024-04-28,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Potato Chips 120g,Snacks,9,59.58
2024-03-18,South,Pampa Supply,Florianópolis Market Center,Convenience,Potato Chips 120g,Snacks,3,19.68
2024-10-04,Central-West,Cerrado Logistics,Goiânia Sales Point,Pharmacy,Potato Chips 120g,Snacks,2,13.94
2024-05-06,North,Norte Supply,Belém Market Point,Cash & Carry,Orange Juice 1L,Beverages,67,505.85
2024-05-23,Southeast,Rio Valley Distribution,Campinas Retail Hub,Supermarket,Potato Chips 120g,Snacks,23,137.54
2024-08-16,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Cookies Pack 140g,Confectionery,7,45.57
2024-03-17,North,Norte Supply,Porto Velho Outlet,Pharmacy,Tomato Sauce 340g,Grocery,14,62.16
2024-09-08,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Dish Soap 500ml,Household,65,333.45
2024-09-16,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Tomato Sauce 340g,Grocery,93,383.16
2024-12-26,Southeast,Rio Valley Distribution,Campinas Retail Hub,Convenience,Mineral Water 500ml,Beverages,5,14.25
2024-06-09,Southeast,SP Trade Hub,Belo Horizonte Outlet,Supermarket,Potato Chips 120g,Snacks,55,352.0
2024-08-28,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Laundry Detergent 1L,Household,2,25.74
2024-12-31,South,SulMax Distribuidora,Florianópolis Market Center,Cash & Carry,Tomato Sauce 340g,Grocery,117,453.96
2024-09-08,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Classic Soda 350ml,Beverages,15,69.9
2024-04-27,Southeast,SP Trade Hub,Belo Horizonte Outlet,Convenience,Chocolate Bar 90g,Confectionery,11,58.08
2024-10-26,Central-West,MidBrasil Supply,Goiânia Sales Point,Supermarket,Potato Chips 120g,Snacks,76,501.6
2024-04-27,Northeast,Nordeste Partners,Salvador Retail Point,Convenience,Classic Soda 350ml,Beverages,5,23.25
2024-05-08,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Classic Soda 350ml,Beverages,3,13.56
2024-08-11,Central-West,MidBrasil Supply,Goiânia Sales Point,Convenience,Mineral Water 500ml,Beverages,11,32.67
2024-09-23,Northeast,Nordeste Partners,Salvador Retail Point,Convenience,Mineral Water 500ml,Beverages,5,13.4
2024-10-07,North,Amazon Distribution,Porto Velho Outlet,Supermarket,Peanut Mix 200g,Snacks,70,614.6
2024-12-30,Northeast,Nordeste Partners,Recife Store Hub,Supermarket,Laundry Detergent 1L,Household,19,220.97
2024-08-24,North,Norte Supply,Manaus Retail Center,E-commerce,Orange Juice 1L,Beverages,18,148.14
2024-01-05,Northeast,Nordeste Partners,Fortaleza Market Center,Supermarket,Potato Chips 120g,Snacks,51,350.37
2024-07-20,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Classic Soda 350ml,Beverages,5,21.3
2024-07-07,Southeast,SP Trade Hub,Campinas Retail Hub,Supermarket,Laundry Detergent 1L,Household,45,558.9
2024-11-23,Southeast,SP Trade Hub,São Paulo Prime Store,Supermarket,Mineral Water 500ml,Beverages,15,39.15
2024-09-27,Southeast,SP Trade Hub,São Paulo Prime Store,Convenience,Tomato Sauce 340g,Grocery,18,77.76
2024-11-27,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,E-commerce,Tomato Sauce 340g,Grocery,17,69.7
2024-03-26,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Cookies Pack 140g,Confectionery,17,122.23
2024-07-07,Northeast,Nordeste Partners,Recife Store Hub,Cash & Carry,Laundry Detergent 1L,Household,53,621.69
2024-01-13,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Chocolate Bar 90g,Confectionery,13,70.07
2024-10-29,North,Amazon Distribution,Belém Market Point,Supermarket,Tomato Sauce 340g,Grocery,27,116.1
2024-04-26,Central-West,MidBrasil Supply,Goiânia Sales Point,Supermarket,Classic Soda 350ml,Beverages,66,285.12
2024-08-25,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Potato Chips 120g,Snacks,7,44.87
2024-07-10,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Peanut Mix 200g,Snacks,21,168.0
2024-05-30,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Cash & Carry,Laundry Detergent 1L,Household,60,788.4
2024-06-29,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Orange Juice 1L,Beverages,12,90.12
2024-12-30,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Mineral Water 500ml,Beverages,86,232.2
2024-01-13,North,Amazon Distribution,Porto Velho Outlet,E-commerce,Chocolate Bar 90g,Confectionery,15,79.8
2024-05-25,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Chocolate Bar 90g,Confectionery,12,60.12
2024-09-20,South,SulMax Distribuidora,Porto Alegre Store Hub,Pharmacy,Cookies Pack 140g,Confectionery,3,20.94
2024-12-04,South,SulMax Distribuidora,Curitiba Retail Point,Pharmacy,Chocolate Bar 90g,Confectionery,16,89.6
2024-11-11,Central-West,Cerrado Logistics,Goiânia Sales Point,Supermarket,Orange Juice 1L,Beverages,59,449.58
2024-03-09,Northeast,Nordeste Partners,Recife Store Hub,Convenience,Classic Soda 350ml,Beverages,9,39.96
2024-10-17,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Pasta 500g,Grocery,10,63.6
2024-05-15,Northeast,Nordeste Partners,Recife Store Hub,Supermarket,Classic Soda 350ml,Beverages,71,334.41
2024-02-10,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Orange Juice 1L,Beverages,16,132.64
2024-10-12,Central-West,MidBrasil Supply,Brasília Retail Hub,Convenience,Laundry Detergent 1L,Household,20,265.6
2024-12-15,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Dish Soap 500ml,Household,76,383.04
2024-09-04,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Cookies Pack 140g,Confectionery,49,323.89
2024-10-29,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Classic Soda 350ml,Beverages,11,51.92
2024-04-22,Central-West,Cerrado Logistics,Goiânia Sales Point,E-commerce,Potato Chips 120g,Snacks,8,51.68
2024-07-04,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Pasta 500g,Grocery,14,85.82
2024-05-04,Southeast,Rio Valley Distribution,Rio Market Center,Convenience,Orange Juice 1L,Beverages,8,64.48
2024-08-09,North,Norte Supply,Manaus Retail Center,Pharmacy,Cookies Pack 140g,Confectionery,6,40.26
2024-04-30,North,Norte Supply,Belém Market Point,Cash & Carry,Peanut Mix 200g,Snacks,77,669.9
2024-04-30,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Cookies Pack 140g,Confectionery,11,71.72
2024-10-30,Northeast,Coastal Distribution,Recife Store Hub,E-commerce,Chocolate Bar 90g,Confectionery,13,74.23
2024-10-03,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Mineral Water 500ml,Beverages,69,193.2
2024-03-31,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Tomato Sauce 340g,Grocery,19,75.05
2024-01-21,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Orange Juice 1L,Beverages,6,50.4
2024-01-21,Central-West,Cerrado Logistics,Goiânia Sales Point,E-commerce,Orange Juice 1L,Beverages,1,8.31
2024-05-16,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Orange Juice 1L,Beverages,20,152.8
2024-02-03,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Mineral Water 500ml,Beverages,17,48.45
2024-09-11,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Orange Juice 1L,Beverages,8,65.12
2024-08-30,North,Norte Supply,Belém Market Point,Supermarket,Paper Towels 2-roll,Household,67,569.5
2024-04-30,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Cookies Pack 140g,Confectionery,11,76.78
2024-03-20,Northeast,Nordeste Partners,Salvador Retail Point,Supermarket,Paper Towels 2-roll,Household,14,113.54
2024-03-05,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Tomato Sauce 340g,Grocery,34,147.9
2024-05-02,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Laundry Detergent 1L,Household,25,311.5
2024-12-01,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Tomato Sauce 340g,Grocery,14,57.54
2024-01-17,Southeast,SP Trade Hub,Rio Market Center,Cash & Carry,Classic Soda 350ml,Beverages,117,505.44
2024-06-14,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Paper Towels 2-roll,Household,16,131.04
2024-12-24,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Laundry Detergent 1L,Household,8,92.08
2024-06-20,Northeast,Coastal Distribution,Salvador Retail Point,Cash & Carry,Tomato Sauce 340g,Grocery,33,128.37
2024-05-22,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Tomato Sauce 340g,Grocery,7,30.45
2024-06-24,Southeast,SP Trade Hub,São Paulo Prime Store,Convenience,Paper Towels 2-roll,Household,22,187.44
2024-04-18,North,Amazon Distribution,Belém Market Point,E-commerce,Potato Chips 120g,Snacks,5,31.65
2024-10-29,South,Pampa Supply,Florianópolis Market Center,Pharmacy,Pasta 500g,Grocery,8,46.72
2024-05-28,North,Norte Supply,Porto Velho Outlet,E-commerce,Pasta 500g,Grocery,18,114.66
2024-07-27,Southeast,SP Trade Hub,Rio Market Center,Convenience,Classic Soda 350ml,Beverages,21,96.39
2024-10-19,North,Norte Supply,Belém Market Point,Pharmacy,Laundry Detergent 1L,Household,9,120.15
2024-11-29,South,SulMax Distribuidora,Porto Alegre Store Hub,Convenience,Peanut Mix 200g,Snacks,4,34.48
2024-09-28,South,Pampa Supply,Porto Alegre Store Hub,Convenience,Classic Soda 350ml,Beverages,10,41.7
2024-01-25,Southeast,SP Trade Hub,Belo Horizonte Outlet,Cash & Carry,Cookies Pack 140g,Confectionery,24,171.12
2024-11-23,Central-West,MidBrasil Supply,Goiânia Sales Point,E-commerce,Paper Towels 2-roll,Household,10,90.7
2024-12-04,North,Norte Supply,Porto Velho Outlet,Supermarket,Pasta 500g,Grocery,80,456.0
2024-06-17,North,Amazon Distribution,Belém Market Point,E-commerce,Paper Towels 2-roll,Household,6,52.56
2024-06-17,Northeast,Nordeste Partners,Fortaleza Market Center,Pharmacy,Orange Juice 1L,Beverages,9,76.14
2024-12-02,North,Amazon Distribution,Manaus Retail Center,Convenience,Mineral Water 500ml,Beverages,12,34.56
2024-03-24,Southeast,SP Trade Hub,Belo Horizonte Outlet,Supermarket,Paper Towels 2-roll,Household,56,455.84
2024-02-05,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Dish Soap 500ml,Household,3,15.84
2024-04-01,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Peanut Mix 200g,Snacks,29,247.95
2024-09-18,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Tomato Sauce 340g,Grocery,4,16.76
2024-06-29,South,Pampa Supply,Curitiba Retail Point,Convenience,Orange Juice 1L,Beverages,8,62.08
2024-02-14,Northeast,Coastal Distribution,Fortaleza Market Center,Cash & Carry,Laundry Detergent 1L,Household,23,271.86
2024-09-02,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Potato Chips 120g,Snacks,12,72.12
2024-04-18,Southeast,Atlântico Distribuição,São Paulo Prime Store,E-commerce,Cookies Pack 140g,Confectionery,6,38.76
2024-09-10,Southeast,Rio Valley Distribution,São Paulo Prime Store,Supermarket,Dish Soap 500ml,Household,68,327.08
2024-04-06,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Tomato Sauce 340g,Grocery,15,63.75
2024-01-04,North,Norte Supply,Porto Velho Outlet,Convenience,Cookies Pack 140g,Confectionery,13,93.47
2024-10-14,North,Amazon Distribution,Manaus Retail Center,E-commerce,Pasta 500g,Grocery,4,23.96
2024-01-17,Southeast,Atlântico Distribuição,Rio Market Center,Cash & Carry,Laundry Detergent 1L,Household,115,1514.55
2024-05-30,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Cookies Pack 140g,Confectionery,2,14.38
2024-05-12,North,Norte Supply,Porto Velho Outlet,Supermarket,Paper Towels 2-roll,Household,58,544.62
2024-07-05,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Pasta 500g,Grocery,24,141.6
2024-06-16,Central-West,MidBrasil Supply,Goiânia Sales Point,Cash & Carry,Peanut Mix 200g,Snacks,38,322.24
2024-05-15,Northeast,Nordeste Partners,Salvador Retail Point,Cash & Carry,Orange Juice 1L,Beverages,113,868.97
2024-02-10,North,Amazon Distribution,Porto Velho Outlet,Supermarket,Laundry Detergent 1L,Household,39,452.4
2024-12-19,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Laundry Detergent 1L,Household,18,217.62
2024-06-08,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Classic Soda 350ml,Beverages,15,63.15
